"id","host_response_rate","host_response_time","host_is_superhost","neighbourhood_group_cleansed","property_type","room_type","accommodates","bathrooms","bedrooms","bed_type","price","weekly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","has_availability","last_review","review_scores_rating","instant_bookable","cancellation_policy","profit","days_listed"
"902243","91%","within a few hours",TRUE,"Downtown","Condominium","Entire home/apt",6,2,2,"Real Bed","200.00","$1,530.00","$200.00","$115.00",1,"$0.00",1,TRUE,2020-03-10,96,FALSE,"strict_14_with_grace_period",6795,29
"902609","100%","within an hour",TRUE,"Delridge","Guest suite","Entire home/apt",2,1,1,"Real Bed","68.00","$458.00","$100.00","$110.00",1,"$15.00",2,TRUE,2020-04-18,96,TRUE,"moderate",4259,74
"904057","100%","within an hour",TRUE,"Ballard","Guesthouse","Entire home/apt",2,1,1,"Real Bed","85.00",NA,"$100.00","$50.00",2,"$10.00",3,TRUE,2020-06-05,98,FALSE,"moderate",5601,53
"922986","39%","a few days or more",FALSE,"Downtown","Apartment","Entire home/apt",6,2,2,"Real Bed","999.00",NA,"$0.00","$99.00",1,"$0.00",2,TRUE,2020-03-03,88,TRUE,"strict_14_with_grace_period",1481,3
"931785","39%","a few days or more",FALSE,"Downtown","Apartment","Entire home/apt",6,2,2,"Real Bed","999.00",NA,"$0.00","$99.00",1,"$0.00",2,TRUE,2020-03-10,94,TRUE,"strict_14_with_grace_period",2714,7
"935432","39%","a few days or more",FALSE,"Downtown","Apartment","Entire home/apt",6,2,2,"Real Bed","999.00",NA,"$0.00","$99.00",1,"$0.00",2,TRUE,2020-04-08,95,TRUE,"strict_14_with_grace_period",12390,14
"935671","39%","a few days or more",FALSE,"Downtown","Apartment","Entire home/apt",6,2,2,"Pull-out Sofa","999.00",NA,"$0.00","$99.00",1,"$0.00",2,TRUE,2020-01-21,89,TRUE,"strict_14_with_grace_period",999,1
"936177","39%","a few days or more",FALSE,"Downtown","Apartment","Entire home/apt",6,2,2,"Real Bed","999.00",NA,"$0.00","$99.00",1,"$0.00",2,TRUE,2020-03-02,91,TRUE,"strict_14_with_grace_period",3113,7
"942490","100%","within a few hours",TRUE,"Other neighborhoods","House","Private room",5,1,1,"Real Bed","70.00","$680.00","$0.00","$150.00",2,"$35.00",7,TRUE,2020-06-11,89,FALSE,"flexible",7640,98
"948077","80%","within a day",TRUE,"Capitol Hill","Guesthouse","Entire home/apt",2,1,1,"Real Bed","99.00",NA,"$175.00","$50.00",1,"$0.00",2,TRUE,2020-03-08,100,TRUE,"moderate",11150,54
"977722","100%","within a few hours",TRUE,"University District","Apartment","Entire home/apt",2,1,1,"Real Bed","80.00","$480.00","$500.00","$30.00",1,"$20.00",2,TRUE,2020-01-25,97,FALSE,"moderate",10370,125
"995443","N/A","N/A",TRUE,"Rainier Valley","Apartment","Entire home/apt",2,1,1,"Real Bed","85.00","$500.00","$100.00","$20.00",2,"$0.00",3,TRUE,2020-02-18,97,FALSE,"moderate",12053,166
"1000883","100%","within an hour",TRUE,"West Seattle","Guesthouse","Entire home/apt",2,1,0,"Real Bed","100.00","$700.00","$200.00","$200.00",2,"$30.00",5,TRUE,2020-03-23,98,FALSE,"strict_14_with_grace_period",13514,122
"1023693","100%","within an hour",TRUE,"Ballard","Guest suite","Entire home/apt",2,1,1,"Real Bed","90.00","$625.00","$500.00","$100.00",2,"$50.00",4,TRUE,2020-03-22,99,FALSE,"moderate",2275,24
"1042022","100%","within a few hours",TRUE,"Capitol Hill","Apartment","Entire home/apt",2,1,1,"Real Bed","89.00",NA,"$200.00","$35.00",2,"$20.00",2,TRUE,2020-02-17,96,TRUE,"moderate",387,3
"1048798","100%","within an hour",TRUE,"West Seattle","House","Entire home/apt",4,2,1,"Real Bed","129.00","$1,295.00","$500.00","$125.00",4,"$25.00",2,TRUE,2020-06-14,99,FALSE,"strict_14_with_grace_period",12117,53
"1049293","100%","within an hour",TRUE,"Capitol Hill","Apartment","Entire home/apt",2,1,1,"Real Bed","89.00","$700.00","$5,000.00","$75.00",1,"$10.00",2,TRUE,2020-06-11,97,FALSE,"strict_14_with_grace_period",12401,127
"1090449","100%","within an hour",TRUE,"Capitol Hill","Guest suite","Entire home/apt",4,1,1,"Real Bed","69.00","$930.00","$300.00","$75.00",2,"$0.00",2,TRUE,2020-03-09,95,FALSE,"strict_14_with_grace_period",6214,74
"1097520","100%","within a few hours",TRUE,"Rainier Valley","Guest suite","Entire home/apt",2,1.5,1,"Real Bed","92.00","$585.00","$400.00","$60.00",2,"$0.00",2,TRUE,2020-02-17,97,FALSE,"strict_14_with_grace_period",4879,47
"1100686","100%","within an hour",TRUE,"Other neighborhoods","House","Private room",3,1,1,"Real Bed","65.00","$380.00","$100.00","$45.00",2,"$15.00",2,TRUE,2020-03-03,96,FALSE,"moderate",3770,80
"1110749","86%","within a few hours",FALSE,"Queen Anne","House","Entire home/apt",6,1.5,3,"Real Bed","325.00",NA,"$500.00","$125.00",6,"$60.00",1,TRUE,2020-05-22,93,FALSE,"strict_14_with_grace_period",15450,33
"1112092","N/A","N/A",TRUE,"Queen Anne","Guesthouse","Entire home/apt",3,1,1,"Real Bed","135.00","$1,000.00","$140.00","$100.00",2,"$25.00",6,TRUE,2020-02-15,97,FALSE,"moderate",6345,47
"1114695","100%","within an hour",TRUE,"Other neighborhoods","House","Entire home/apt",7,2.5,3,"Airbed","212.00",NA,"$250.00","$99.00",6,"$15.00",25,TRUE,2020-05-26,96,TRUE,"strict_14_with_grace_period",26650,82
"1121599","100%","within an hour",TRUE,"Cascade","Boat","Entire home/apt",4,1,1,"Real Bed","129.00","$900.00","$1,000.00","$45.00",2,"$25.00",1,TRUE,2020-04-09,96,TRUE,"strict_14_with_grace_period",3504,22
"1122236","92%","within a few hours",FALSE,"Capitol Hill","Apartment","Entire home/apt",4,1,1,"Real Bed","119.00","$890.00","$200.00","$99.00",1,"$0.00",1,TRUE,2020-05-16,95,FALSE,"strict_14_with_grace_period",6816,44
"1142039","100%","within a few hours",TRUE,"Lake City","House","Private room",1,1,1,"Real Bed","50.00","$280.00","$0.00","$10.00",1,"$0.00",1,TRUE,2020-05-11,98,FALSE,"moderate",2350,47
"1146966","100%","within an hour",TRUE,"Other neighborhoods","House","Private room",3,1,1,"Real Bed","60.00","$340.00","$100.00","$45.00",2,"$15.00",3,TRUE,2020-03-11,96,FALSE,"moderate",4366,89
"1159111","100%","within a day",FALSE,"Downtown","Apartment","Entire home/apt",6,1,2,"Real Bed","204.00","$1,148.00","$0.00","$150.00",4,"$10.00",3,TRUE,2020-02-23,95,FALSE,"moderate",9588,40
"1159226","100%","within a day",FALSE,"Downtown","Apartment","Entire home/apt",4,1,2,"Real Bed","174.00","$1,149.00","$0.00","$150.00",3,"$0.00",3,TRUE,2020-01-29,97,FALSE,"flexible",7888,67
"1171574","100%","within a few hours",TRUE,"Central Area","Guest suite","Entire home/apt",2,1,1,"Real Bed","65.00",NA,"$0.00","$0.00",2,"$0.00",3,TRUE,2020-05-29,98,FALSE,"flexible",704,11
"1184846","100%","within a few hours",TRUE,"Other neighborhoods","Apartment","Entire home/apt",2,1,1,"Real Bed","100.00",NA,"$100.00",NA,1,"$0.00",3,TRUE,2020-03-10,98,FALSE,"moderate",700,7
"1200083","39%","a few days or more",FALSE,"Downtown","Apartment","Entire home/apt",4,1,1,"Real Bed","999.00",NA,"$0.00","$99.00",1,"$0.00",2,TRUE,2020-04-01,86,TRUE,"strict_14_with_grace_period",1998,2
"1225820","75%","within a day",TRUE,"West Seattle","Guesthouse","Entire home/apt",2,1,1,"Real Bed","87.00","$650.00","$200.00","$45.00",1,"$0.00",2,TRUE,2020-04-21,97,TRUE,"moderate",7102,76
"1246769","100%","within an hour",TRUE,"Downtown","Apartment","Entire home/apt",2,1,1,"Real Bed","129.00",NA,"$250.00","$50.00",2,"$0.00",5,TRUE,2020-01-24,97,FALSE,"strict_14_with_grace_period",11005,75
"1252740","N/A","N/A",TRUE,"Other neighborhoods","House","Private room",3,1,1,"Real Bed","89.00","$450.00",NA,"$15.00",2,"$25.00",2,TRUE,2020-03-08,98,FALSE,"strict_14_with_grace_period",8147,123
"1260259","100%","within a few hours",FALSE,"Magnolia","Cottage","Entire home/apt",3,1,1,"Real Bed","155.00",NA,NA,NA,1,"$0.00",30,TRUE,2020-01-28,99,FALSE,"flexible",1860,12
"1289082","100%","within a few hours",TRUE,"Ballard","Apartment","Entire home/apt",4,2,3,"Real Bed","285.00","$1,850.00","$400.00","$90.00",4,"$10.00",30,TRUE,2020-04-17,86,FALSE,"strict_14_with_grace_period",32490,114
"1305895","50%","within a day",FALSE,"Other neighborhoods","House","Private room",1,1,1,"Real Bed","50.00","$250.00","$400.00","$50.00",1,"$10.00",30,TRUE,2020-01-28,90,FALSE,"strict_14_with_grace_period",6105,111
"1309666","90%","within an hour",FALSE,"Other neighborhoods","Townhouse","Entire home/apt",4,1,1,"Real Bed","90.00",NA,"$100.00","$75.00",4,"$100.00",5,TRUE,2020-03-18,86,TRUE,"strict_14_with_grace_period",2885,31
"1349175","100%","within a few hours",TRUE,"Capitol Hill","House","Private room",4,1,1,"Real Bed","120.00",NA,"$100.00","$25.00",2,"$10.00",1,TRUE,2020-03-10,96,FALSE,"moderate",16720,140
"1351716","100%","within an hour",TRUE,"Central Area","Guesthouse","Entire home/apt",4,1,1,"Real Bed","98.00","$750.00","$0.00","$0.00",2,"$22.00",2,TRUE,2020-02-23,96,FALSE,"moderate",9612,108
"1355094","100%","within an hour",FALSE,"Capitol Hill","Townhouse","Private room",1,1,1,"Real Bed","35.00","$476.00",NA,NA,2,"$0.00",30,TRUE,2020-05-14,94,TRUE,"moderate",4328,130
"1356339","92%","within a few hours",FALSE,"Capitol Hill","Apartment","Entire home/apt",4,1,1,"Real Bed","119.00","$890.00","$200.00","$99.00",1,"$0.00",1,TRUE,2020-06-12,96,FALSE,"strict_14_with_grace_period",6554,46
"1371152","100%","within an hour",FALSE,"University District","Townhouse","Entire home/apt",9,1.5,2,"Real Bed","188.00","$1,000.00","$150.00","$80.00",2,"$10.00",1,TRUE,2020-03-12,95,TRUE,"flexible",5175,33
